    1.087133,   0.151526,   0.010508,  -0.477029,   1.409505,  -0.005121,  -1.390262,  -0.581935,  -1.699692,   0.646636,  -1.179054,  -0.127462 ,  0.000000
    1.090412,   0.148622,   0.012431,  -0.469861,   1.412949,  -0.005005,  -1.395492,  -0.595228,  -1.802537,   0.719062,  -1.228742,  -0.108193 ,  0.000000
    1.094193,   0.145517,   0.015117,  -0.460215,   1.416012,  -0.004918,  -1.400160,  -0.611214,  -1.909908,   0.813607,  -1.274815,  -0.074947 ,  0.000000
    1.098660,   0.142082,   0.018747,  -0.447503,   1.418732,  -0.004853,  -1.404325,  -0.630692,  -2.025826,   0.935992,  -1.318331,  -0.024963 ,  0.000000
    1.102766,   0.138433,   0.022830,  -0.430921,   1.421140,  -0.004802,  -1.408042,  -0.654740,  -2.148826,   1.058992,  -1.360777,   0.045438 ,  0.000000
    1.106018,   0.134621,   0.027492,  -0.409376,   1.423272,  -0.004765,  -1.411355,  -0.684744,  -2.271826,   1.181992,  -1.404123,   0.142661 ,  0.000000
    1.108334,   0.130591,   0.032711,  -0.381337,   1.425152,  -0.004736,  -1.414307,  -0.722622,  -2.394826,   1.304992,  -1.452052,   0.265661 ,  0.000000
    1.110320,   0.126385,   0.037936,  -0.344632,   1.426806,  -0.004712,  -1.416935,  -0.771152,  -2.517826,   1.427992,  -1.510650,   0.388661 ,  0.000000
    1.111666,   0.121843,   0.043167,  -0.296110,   1.428264,  -0.004706,  -1.419261,  -0.834546,  -2.640826,   1.550992,  -1.590027,   0.511661 ,  0.000000
    1.111772,   0.116660,   0.048404,  -0.230942,   1.429555,  -0.004731,  -1.421303,  -0.919233,  -2.763826,   1.673992,  -1.709585,   0.634661 ,  0.000000
    1.111772,   0.111423,   0.053642,  -0.141531,   1.430706,  -0.004799,  -1.423076,  -1.035292,  -2.886826,   1.796992,  -1.832585,   0.757661 ,  0.000000
    1.111772,   0.106185,   0.058879,  -0.018531,   1.431722,  -0.004874,  -1.424614,  -1.158292,  -3.009826,   1.919992,  -1.955585,   0.880661 ,  0.000000
    1.111772,   0.100947,   0.064117,   0.104469,   1.432543,  -0.004766,  -1.426034,  -1.281292,  -3.132826,   2.042992,  -2.078585,   1.003661 ,  0.000000
    1.111800,   0.100716,   0.064026,   0.070947,   1.433358,  -0.004846,  -1.427152,  -1.241229,  -3.141035,   2.041081,  -2.086339,   1.001296 ,  0.000000
    1.111806,   0.100377,   0.063630,   0.040946,   1.433978,  -0.004786,  -1.428212,  -1.205328,  -3.154902,   2.031840,  -2.100104,   0.991952 ,  0.000000
    1.111816,   0.099951,   0.063038,   0.014134,   1.434438,  -0.004633,  -1.429199,  -1.173215,  -3.173084,   2.018007,  -2.118129,   0.977964 ,  0.000000
    1.111842,   0.099460,   0.062327,  -0.009803,   1.434765,  -0.004428,  -1.430102,  -1.144531,  -3.194357,   2.001529,  -2.138989,   0.961071 ,  0.000000
    1.111888,   0.098926,   0.061555,  -0.031152,   1.434984,  -0.004202,  -1.430915,  -1.118936,  -3.217661,   1.983762,  -2.161543,   0.942554 ,  0.000000
